payment_id,user_id,rental_id,payment_date,amount,payment_method,status
1,985,1,2022-01-07,5.55,credit_card,completed
2,752,2,2024-05-18,3.09,gift_card,failed
3,780,3,2021-12-12,4.09,gift_card,refunded
4,954,4,2025-02-01,3.88,credit_card,failed
5,291,5,2025-05-19,5.94,debit_card,refunded
6,225,6,2020-02-16,5.7,gift_card,refunded
7,327,7,2020-09-05,6.56,paypal,pending
8,13,8,2025-02-17,3.34,credit_card,failed
9,265,9,2021-01-24,4.68,debit_card,refunded
10,774,10,2022-10-16,3.11,credit_card,pending
11,707,11,2024-11-03,3.86,paypal,refunded
12,114,12,2020-06-22,5.01,credit_card,pending
13,905,13,2022-08-07,3.1,credit_card,pending
14,937,14,2023-02-13,3.79,gift_card,failed
15,599,15,2024-09-28,5.59,paypal,pending
16,288,16,2021-04-25,5.17,paypal,refunded
17,595,17,2022-08-03,3.87,paypal,completed
18,699,18,2020-10-01,5.35,credit_card,refunded
19,527,19,2020-03-09,6.23,paypal,refunded
20,631,20,2022-04-13,3.02,paypal,pending
21,736,21,2020-05-02,6.21,paypal,refunded
22,575,22,2022-10-09,5.78,gift_card,pending
23,372,23,2023-10-31,4.35,paypal,failed
24,584,24,2024-11-17,3.61,credit_card,pending
25,56,25,2020-08-26,6.82,gift_card,failed
26,770,26,2023-10-17,4.34,paypal,completed
27,542,27,2024-09-12,3.36,paypal,refunded
28,37,28,2024-07-26,3.38,gift_card,failed
29,601,29,2023-10-25,6.38,paypal,completed
30,578,30,2025-05-08,5.4,credit_card,pending
31,307,31,2021-08-11,6.22,credit_card,completed
32,700,32,2021-08-16,5.91,paypal,failed
33,851,33,2020-08-16,5.13,credit_card,refunded
34,84,34,2025-04-07,6.88,gift_card,completed
35,740,35,2025-05-15,4.5,paypal,completed
36,206,36,2020-07-07,5.2,gift_card,pending
37,189,37,2024-10-09,6.31,credit_card,pending
38,325,38,2021-05-26,5.46,paypal,refunded
39,398,39,2022-06-27,6.44,gift_card,pending
40,808,40,2021-07-02,5.3,credit_card,failed
41,964,41,2025-03-09,5.81,paypal,failed
42,639,42,2023-09-18,3.17,debit_card,completed
43,640,43,2024-04-04,3.9,credit_card,pending
44,115,44,2021-09-20,4.15,credit_card,pending
45,416,45,2022-01-23,3.31,debit_card,completed
46,514,46,2022-03-13,3.92,debit_card,refunded
47,481,47,2023-03-06,3.39,gift_card,pending
48,792,48,2023-09-09,4.1,credit_card,pending
49,141,49,2021-11-22,5.53,debit_card,refunded
50,492,50,2024-03-09,4.45,paypal,pending
51,810,51,2020-02-23,4.47,credit_card,failed
52,751,52,2024-11-10,3.83,gift_card,failed
53,12,53,2023-02-07,4.06,debit_card,refunded
