movie_id,title,genre,release_year,rating,duration_minutes,description,inventory_count,created_at
1,Dorian Gray,Drama|Horror|Sci-Fi,2024,R,81,Pre-emptive foreground extranet,14,02/27/2025
2,Brothers on the Line,(no genres listed),2002,PG,111,Realigned human-resource data-warehouse,36,10/11/2022
3,Love Ranch,Comedy|Drama|Romance,1957,PG-13,78,User-friendly mobile model,35,04/22/2023
4,Atragon (Kaitei Gunkan),Adventure|Sci-Fi,1990,G,157,Virtual zero tolerance synergy,0,08/14/2023
5,71 Fragments of a Chronology of Chance (71 Fragmente einer Chronologie des Zufalls),Drama,1993,G,74,Enhanced fresh-thinking archive,20,01/19/2023
6,Man in the Chair,Comedy|Drama,1966,PG-13,162,Organized hybrid orchestration,8,05/25/2021
7,Visit to a Small Planet,Comedy|Sci-Fi,1972,PG-13,110,Implemented incremental policy,8,07/07/2022
8,Watching the Detectives,Comedy|Romance,1963,PG,175,Face to face object-oriented hierarchy,41,01/27/2025
9,"Lusty Men, The",Action|Drama|Western,1958,G,106,Reduced leading edge projection,46,10/21/2022
10,"Crouching Tiger, Hidden Dragon (Wo hu cang long)",Action|Drama|Romance,2011,PG,170,Decentralized demand-driven interface,6,03/15/2020
11,Terry Fator: Live from Las Vegas,Comedy,2015,PG,177,Ameliorated maximized project,7,01/26/2025
12,Short Sharp Shock (Kurz und schmerzlos) ,Crime|Drama,1979,NC-17,141,Proactive non-volatile encryption,32,06/08/2022
13,Wild Boys of the Road,Adventure|Drama|Romance,1997,R,175,Virtual exuding definition,23,10/19/2024
14,I Drink Your Blood,Horror,1970,PG-13,77,Multi-channelled coherent data-warehouse,43,09/07/2020
15,Last Summer,Drama,2024,R,91,Realigned well-modulated groupware,28,03/07/2025
16,Secret Window,Mystery|Thriller,1970,R,116,Reverse-engineered optimal matrix,26,06/25/2023
17,"Goodbye, Mr. Chips",Drama|Romance,1987,PG-13,128,Compatible cohesive database,25,03/01/2024
18,Daayen Ya Baayen,Comedy|Drama,2019,R,136,Up-sized methodical database,28,10/21/2024
19,Tokyo Olympiad,Documentary,2021,R,89,Open-architected next generation system engine,45,04/12/2025
20,"Dance of Reality, The (Danza de la realidad, La)",Drama|Fantasy,1960,PG-13,145,Advanced background local area network,8,01/15/2020
21,Fist of Legend (Jing wu ying xiong),Action|Drama,1978,PG-13,89,Switchable uniform middleware,28,10/19/2024
22,"Swan Princess: Escape from Castle Mountain, The",Animation|Children|Fantasy|Romance,1996,NC-17,137,De-engineered upward-trending projection,13,08/26/2020
23,Spider-Man,Action|Adventure|Sci-Fi|Thriller,1991,G,119,Configurable well-modulated ability,33,08/07/2024
24,Design for Scandal,Comedy|Romance,1995,PG,74,Quality-focused systemic parallelism,35,10/26/2024
25,What Time Is It There? (Ni neibian jidian),Drama,1960,G,112,Profit-focused asymmetric process improvement,1,10/16/2023
26,Of Snails and Men (Despre oameni si melci),Comedy,1982,G,108,Down-sized didactic infrastructure,47,09/23/2021
27,Exit to Hell,Action|Horror|Thriller,1969,PG,152,Triple-buffered next generation interface,47,06/28/2020
28,"Draughtsman's Contract, The",Drama,2012,PG-13,144,Phased client-server encoding,35,03/07/2023
29,"Order of Myths, The",Documentary,2016,PG-13,100,Reactive mission-critical knowledge base,18,04/30/2020
30,Daylight Robbery,Crime|Drama|Thriller,1953,NC-17,173,Horizontal directional portal,14,05/21/2021
31,"Nine Lives of Tomas Katz, The",Comedy|Drama|Fantasy,1970,PG,166,User-centric didactic monitoring,22,01/14/2025
32,"Eye for an Eye, An (Oeil pour oeil) (Eyes of the Sahara)",Drama,2001,PG,92,Innovative coherent algorithm,44,08/05/2020
33,Thirteen Days,Drama|Thriller|War,2017,R,170,Extended analyzing matrix,1,10/31/2024
34,Roadside Prophets,Comedy|Drama,1998,NC-17,75,Cross-group foreground firmware,43,04/05/2022
35,AmeriQua,Comedy,1972,PG-13,90,Business-focused 4th generation definition,7,09/17/2024
36,Guadalcanal Diary,Action|War,1982,PG,144,Public-key tertiary alliance,14,01/22/2020
37,What Ever Happened to Baby Jane?,Drama|Horror|Thriller,1968,PG-13,83,Team-oriented real-time conglomeration,18,01/24/2022
38,Cleopatra,Drama|Romance|War,2021,PG,87,Phased coherent collaboration,39,06/27/2022
39,Dial 1119,Crime|Drama|Film-Noir,1997,G,174,Synergized eco-centric hardware,38,12/22/2022
40,Fear Clinic,Horror,1952,NC-17,81,Public-key hybrid support,25,11/04/2024
41,Jackass Number Two,Comedy|Documentary,2024,R,162,Programmable 3rd generation structure,21,08/05/2022
42,"Beast of War, The (Beast, The)",Drama|War,1964,PG-13,75,Compatible value-added flexibility,21,02/18/2023
43,"Dolce Vita, La",Drama,1957,PG,72,Reverse-engineered encompassing strategy,7,12/03/2022
44,Soylent Green,Drama|Mystery|Sci-Fi|Thriller,2001,PG-13,114,Realigned mobile system engine,38,08/08/2020
45,Godzilla and Mothra: The Battle for Earth (Gojira vs. Mosura),Action|Sci-Fi,2016,NC-17,110,Profit-focused maximized matrices,21,10/12/2022
46,"Nugget, The",Comedy,1997,PG,161,Decentralized foreground flexibility,24,03/04/2024
47,Jay And Silent Bob's Super Groovy Cartoon Movie,(no genres listed),1962,NC-17,169,Integrated human-resource algorithm,23,09/22/2021
48,Wilson,Drama,1970,NC-17,114,Configurable upward-trending contingency,43,09/11/2023
49,"Crucible, The",Drama,1958,R,82,Switchable analyzing analyzer,36,08/06/2020
50,One Nite In Mongkok (Wong gok hak yau),Action|Crime|Drama,1989,PG-13,166,Face to face demand-driven artificial intelligence,20,10/25/2020
51,Albino Farm,Horror,1973,NC-17,129,Vision-oriented impactful system engine,31,04/10/2023
52,A Story of Children and Film,Documentary,2001,PG,82,De-engineered local ability,28,02/01/2021
53,Scenes from a Mall,Comedy,1980,G,105,Total 4th generation extranet,26,05/25/2024
54,Death Race,Action|Adventure|Sci-Fi|Thriller,1986,R,88,User-friendly grid-enabled leverage,29,03/26/2025
55,World Trade Center,Drama,1984,G,115,Self-enabling tangible open architecture,46,11/27/2021
56,Before Midnight,Drama|Romance,1954,PG-13,169,Team-oriented content-based concept,6,04/07/2020
57,Man at Bath (Homme au bain),Drama,1998,G,177,Versatile background middleware,21,04/24/2024
58,"Paris, France",Comedy,2002,R,180,Cross-group reciprocal migration,20,11/20/2023
59,Management,Comedy|Romance,1971,PG-13,112,Synchronised actuating customer loyalty,0,04/11/2025
60,"Diary of a Chambermaid, The",Drama|Romance,1950,R,130,Virtual web-enabled budgetary management,3,01/20/2025
61,Handsome Harry,Crime|Drama,2014,R,127,Total content-based neural-net,21,09/12/2020
62,Electile Dysfunction,Documentary,2015,PG,87,Monitored optimal standardization,46,12/22/2022
